"","Genus","Species","Class","Tmax","REF_max","tmin","Binomial","Synonym","Accepted","Topt","Shapefile","Mass","SVL"
"1257","Varanus","varius","Lepidosauria",43.7,"Spellerberg_1972a","5","Varanus varius",NA,NA,NA,TRUE,6343,"570"
"1258","Eulamprus","quoyii","Lepidosauria",39.8,"Spellerberg_1972a","6","Eulamprus quoyii",NA,NA,NA,TRUE,27.9,"104.8"
"1259","Eulamprus","tympanum","Lepidosauria",39,"Spellerberg_1972a","2.5","Eulamprus tympanum",NA,NA,34.3,TRUE,17.2,"89.7"
"1261","Chondrodactylus","angulifer","Lepidosauria",42.9,"Stebbins_1961",NA,"Chondrodactylus angulifer",NA,NA,NA,TRUE,15.7,"75.5"
"1276","Anolis","carolinensis","Lepidosauria",41.7,"vanBerkum_1988","4.7","Anolis carolinensis","Anolis baccatus",NA,32.1,TRUE,2.3,"49.25"
"1278","Lepidophyma","flavimaculatum","Lepidosauria",38,"vanBerkum_1988","11.3","Lepidophyma flavimaculatum",NA,NA,32.9,TRUE,11.3,"82.4"
"1280","Sceloporus","occidentalis","Lepidosauria",44.1,"vanBerkum_1988","4.8","Sceloporus occidentalis",NA,NA,34.3,TRUE,13.6,"66.15"
"1281","Sceloporus","variabilis","Lepidosauria",43.1,"vanBerkum_1988","10.2","Sceloporus variabilis",NA,NA,37.5,TRUE,11,"58.07"
"1282","Podarcis","tiliguerta","Lepidosauria",42.7,"Vandamme_et_al_1989",NA,"Podarcis tiliguerta",NA,NA,NA,TRUE,5,"61.38"
"1283","Uta","stansburiana","Lepidosauria",43.7,"Waldschmidt_&_Tracy_1983","7.8","Uta stansburiana","Uta mannophora",NA,36.7,TRUE,3,"46.17"
"1285","Ctenophorus","pictus","Lepidosauria",45,"Warburg_1965",NA,"Ctenophorus pictus",NA,NA,NA,TRUE,8,"62.5"
"1286","Ctenophorus","reticulatus","Lepidosauria",46.5,"Warburg_1965",NA,"Ctenophorus reticulatus",NA,NA,NA,TRUE,15.1,"88.53"
"1288","Varanus","gouldii","Lepidosauria",43.5,"Warburg_1965",NA,"Varanus gouldii",NA,NA,NA,TRUE,821.1,"385.15"
"1289","Acontias","meleagris","Lepidosauria",41,"Withers_1981",NA,"Acontias meleagris",NA,NA,NA,TRUE,7.3,"195.45"
"1290","Scelotes","gronovii","Lepidosauria",44.6,"Withers_1981",NA,"Scelotes gronovii",NA,NA,NA,TRUE,1.1,"68.2"
"1294","Eremias","brenchleyi","Lepidosauria",43.6,"Xu_&_Ji_2006","3.4","Eremias brenchleyi",NA,NA,NA,TRUE,5.9,"69"
"1295","Takydromus","septentrionalis","Lepidosauria",45,"Yang_et_al_2008","4.9","Takydromus septentrionalis",NA,NA,31.5,TRUE,5.3,"60.7"
"1296","Plestiodon","gilberti","Lepidosauria",42.3,"Youssef_et_al_2008","7.7","Plestiodon gilberti",NA,NA,NA,TRUE,20,"82.05"
"1297","Takydromus","sexlineatus","Lepidosauria",42.2,"Zhang_&_Ji_2004","6.4","Takydromus sexlineatus",NA,NA,35.1,TRUE,2.2,"54.67"
"2117","Heloderma","suspectum","Lepidosauria",44,"Bogert_&_Martin_del_Campo_1956",NA,"Heloderma suspectum",NA,NA,NA,TRUE,551.3,"287.35"
